,Artist,Title,Label
229,Halsey,Bad At Love,0
230,Meghan Trainor,No Excuses,0
231,P!nk,Beautiful Trauma,0
232,Chris Brown,Tempo,0
233,XXXTENTACION,The Remedy For A Broken Heart (Why Am I So In Love),0
234,Sam Smith,Too Good At Goodbyes,0
235,Cardi B,Bodak Yellow (Money Moves),0
236,Ed Sheeran,Shape Of You,0
237,Khalid,Young Dumb & Broke,0
238,Imagine Dragons,Believer,0
239,Bruno Mars,That's What I Like,0
240,Post Malone,Candy Paint,0
241,Taylor Swift,...Ready For It?,0
242,P!nk,What About Us,0
243,Lil Baby,My Dawg,0
244,Taylor Swift,Look What You Made Me Do,0
245,Eminem,Believe,0
246,Shawn Mendes,There's Nothing Holdin' Me Back,0
247,Luke Combs,When It Rains It Pours,0
248,Kendrick Lamar,Humble.,0
249,Taylor Swift,Call It What You Want,0
250,XXXTENTACION,Jocelyn Flores,0
251,Taylor Swift,Gorgeous,0
252,Chris Brown,Questions,0
253,Post Malone,Go Flex,0
254,Halsey,Now Or Never,0
255,Future,Mask Off,0
256,Ed Sheeran,Castle On The Hill,0
257,Khalid,Location,0
258,Miley Cyrus,Malibu,0
259,Bruno Mars,Versace On The Floor,0
260,Bruno Mars,24K Magic,0
261,Kendrick Lamar,DNA.,0
262,Travis Scott,Butterfly Effect,0
263,Camila Cabello,Crying In The Club,0
264,Drake,Passionfruit,0
265,Chris Brown,Privacy,0
266,Lady Gaga,The Cure,0
267,Drake,Signs,0
268,The Weeknd,Reminder,0
269,Kendrick Lamar,Element.,0
270,Rihanna,Love On The Brain,0
271,The Chainsmokers,Paris,0
272,Shawn Mendes,Mercy,0
273,Justin Timberlake,Can't Stop The Feeling!,0
274,Drake,Fake Love,0
275,Lady Gaga,Million Reasons,0
276,Adele,Water Under The Bridge,0
277,twenty one pilots,Heathens,0
278,Travis Scott,Goosebumps,0
279,Nicki Minaj,Regret In Your Tears,0
280,Ed Sheeran,Galway Girl,0
281,XXXTENTACION,Look At Me!,0
282,Luke Combs,Hurricane,0
283,Future,Draco,0
284,The Weeknd,Party Monster,0
285,Ed Sheeran,Dive,0
286,Shawn Mendes,Treat You Better,0
287,Carrie Underwood,Dirty Laundry,0
288,The Weeknd,Six Feet Under,0
289,twenty one pilots,Ride,0
290,Rihanna,Needed Me,0
291,Adele,Send My Love (To Your New Lover),0
292,Kanye West,Fade,0
293,Rihanna,Sex With Me,0
294,Katy Perry,Rise,0
295,P!nk,Just Like Fire,0
296,Meghan Trainor,Me Too,0
297,Drake,Controlla,0
298,Ariana Grande,Into You,0
299,twenty one pilots,Stressed Out,0
300,Beyonce,Sorry,0
301,Ariana Grande,Dangerous Woman,0
302,Justin Bieber,Love Yourself,0
303,Future,Wicked,0
304,Coldplay,Hymn For The Weekend,0
305,Carrie Underwood,Church Bells,0
306,Fetty Wap,Wake Up,0
307,Kanye West,Famous,0
308,Meghan Trainor,No,0
309,Fergie,M.I.L.F. $,0
310,Drake,Childs Play,0
311,Adele,Hello,0
312,Shawn Mendes,Stitches,0
313,The Weeknd,The Hills,0
314,Drake,Hotline Bling,0
315,Chris Brown,Back To Sleep,0
316,Drake,Summer Sixteen,0
317,Adele,When We Were Young,0
318,Justin Bieber,What Do You Mean?,0
319,The Weeknd,In The Night,0
320,Post Malone,White Iverson,0
321,The Weeknd,Can't Feel My Face,0
322,Carrie Underwood,Heartbeat,0
323,Coldplay,Adventure Of A Lifetime,0
324,Taylor Swift,New Romantics,0
325,The Weeknd,Acquainted,0
326,Justin Bieber,Company,0
327,Fetty Wap,Jimmy Choo,0
328,Gwen Stefani,Make Me Like You,0
329,Travis Scott,Antidote,0
330,Taylor Swift,Wildest Dreams,0
331,Fetty Wap,Trap Queen,0
332,Ariana Grande,Focus,0
333,Fetty Wap,Again,0
334,One Direction,Drag Me Down,0
335,Justin Bieber,I'll Show You,0
336,Gwen Stefani,Used To Love You,0
337,Drake,Back To Back,0
338,Halsey,New Americana,0
339,Drake,Right Hand,0
340,Carrie Underwood,Smoke Break,0
341,Justin Bieber,Purpose,0
342,Justin Bieber,Mark My Words,0
343,Ed Sheeran,Photograph,0
344,Justin Bieber,Life Is Worth Living,0
345,Justin Bieber,Children,0
346,Chris Brown,Liquor,0
347,Justin Bieber,Been You,0
348,One Direction,If I Could Fly,0
349,One Direction,Olivia,0
350,Justin Bieber,Get Used To It,0
351,One Direction,A.M.,0
352,Fetty Wap,RGF Island,0
353,One Direction,Temporary Fix,0
354,Justin Bieber,Trust,0
355,One Direction,Never Enough,0
356,Maroon 5,Sugar,0
357,The Weeknd,Earned It (Fifty Shades Of Grey),0
358,Rihanna,B**** Better Have My Money,0
359,Ed Sheeran,Thinking Out Loud,0
360,Maroon 5,This Summer's Gonna Hurt...,0
361,Taylor Swift,Shake It Off,0
362,Taylor Swift,Style,0
363,Nicki Minaj,The Night Is Still Young,0
364,Future,Commas,0
365,Carrie Underwood,Little Toy Guns,0
366,Kendrick Lamar,Alright,0
367,twenty one pilots,Tear In My Heart,0
368,Taylor Swift,Blank Space,0
369,Ariana Grande,One Last Time,0
370,Meghan Trainor,Lips Are Movin,0
371,Sam Smith,Lay Me Down,0
372,Sam Smith,I'm Not The Only One,0
373,Meghan Trainor,All About That Bass,0
374,Maroon 5,Animals,0
375,Sam Smith,Stay With Me,0
376,Beyonce,7/11,0
377,One Direction,Night Changes,0
378,Meghan Trainor,Dear Future Husband,0
379,Drake,Energy,0
380,Imagine Dragons,I Bet My Life,0
381,Drake,Know Yourself,0
382,Kendrick Lamar,King Kunta,0
383,Drake,Legend,0
384,Kendrick Lamar,The Blacker The Berry,0
385,Drake,10 Bands,0
386,twenty one pilots,Fairly Local,0
387,Ed Sheeran,Don't,0
388,Carrie Underwood,Something In The Water,0
389,Nicki Minaj,Anaconda,0
390,Fergie,L.A.LOVE (la la),0
391,One Direction,Steal My Girl,0
392,The Weeknd,Often,0
393,Pharrell Williams,Happy,0
394,Drake,0 To 100 / The Catch Up,0
395,Kendrick Lamar,i,0
396,Gwen Stefani,Baby Don't Lie,0
397,Katy Perry,This Is How We Do,0
398,One Direction,Stockholm Syndrome,0
399,Maroon 5,Maps,0
400,Justin Timberlake,Not A Bad Thing,0
401,Nicki Minaj,Pills N Potions,0
402,Coldplay,A Sky Full Of Stars,0
403,Ed Sheeran,Sing,0
404,Pharrell Williams,Come Get It Bae,0
405,Iggy Azalea,Work,0
406,Katy Perry,Birthday,0
407,Usher,Good Kisser,0
408,One Direction,Story Of My Life,0
409,The Chainsmokers,#SELFIE,0
410,Imagine Dragons,Demons,0
411,Imagine Dragons,Radioactive,0
412,Beyonce,Partition,0
413,Katy Perry,Roar,0
414,Miley Cyrus,Wrecking Ball,0
415,Bruno Mars,Young Girls,0
416,Coldplay,Magic,0
417,Imagine Dragons,On Top Of The World,0
418,Katy Perry,Unconditionally,0
419,Lady Gaga,Applause,0
420,Eminem,Rap God,0
421,Beyonce,XO,0
422,Drake,The Language,0
423,Justin Timberlake,TKO,0
424,Eminem,Berzerk,0
425,One Direction,Best Song Ever,0
426,Justin Bieber,All That Matters,0
427,Kanye West,Bound 2,0
428,Future,Honest,0
429,Britney Spears,Perfume,0
430,Drake,Worst Behavior,0
431,Daughtry,Waiting For Superman,0
432,Eminem,Survival,0
433,One Direction,Diana,0
434,One Direction,Midnight Memories,0
435,Rihanna,What Now,0
436,Justin Timberlake,Mirrors,0
437,Miley Cyrus,We Can't Stop,0
438,Taylor Swift,Red,0
439,Bruno Mars,Gorilla,0
440,One Direction,Strong,0
441,Britney Spears,Work B**ch!,0
442,Ariana Grande,Last Christmas,0
443,Bruno Mars,Treasure,0
444,Maroon 5,Love Somebody,0
445,Bruno Mars,When I Was Your Man,0
446,Justin Timberlake,Take Back The Night,0
447,Carrie Underwood,See You Again,0
448,Britney Spears,Ooh La La,0
449,Avril Lavigne,Here's To Never Growing Up,0
450,Chris Brown,Fine China,0
451,Drake,Started From The Bottom,0
452,Taylor Swift,I Knew You Were Trouble.,0
453,Maroon 5,Daylight,0
454,Bruno Mars,Locked Out Of Heaven,0
455,Rihanna,Pour It Up,0
456,Imagine Dragons,It's Time,0
457,Taylor Swift,22,0
458,P!nk,Try,0
459,Maroon 5,One More Night,0
460,Carrie Underwood,Two Black Cadillacs,0
461,One Direction,Kiss You,0
462,Justin Timberlake,Pusher Love Girl,0
463,Future,Neva End,0
464,Ke$ha,C'mon,0
465,One Direction,One Way Or Another (Teenage Kicks),0
466,Kendrick Lamar,"Bitch, Don't Kill My Vibe",0
467,Ke$ha,Die Young,0
468,Ed Sheeran,The A Team,0
469,Kendrick Lamar,Swimming Pools (Drank),0
470,Taylor Swift,We Are Never Ever Getting Back Together,0
471,Nicki Minaj,Va Va Voom,0
472,One Direction,Little Things,0
473,Chris Brown,Don't Wake Me Up,0
474,P!nk,Blow Me (One Last Kiss),0
475,The Weeknd,Wicked Games,0
476,Chris Brown,Don't Judge Me,0
477,Adele,Skyfall,0
478,One Direction,Live While We're Young,0
479,Taylor Swift,Begin Again,0
480,Future,Turn On The Lights,0
481,Carrie Underwood,Blown Away,0
482,Katy Perry,Wide Awake,0
483,Nicki Minaj,Pound The Alarm,0
484,Beyonce,Dance For You,0
485,Rihanna,Where Have You Been,0
486,Usher,Scream,0
487,Nicki Minaj,Starships,0
488,One Direction,What Makes You Beautiful,0
489,One Direction,One Thing,0
490,Justin Bieber,Boyfriend,0
491,T.I.,Go Get It,0
492,Adele,Set Fire To The Rain,0
493,Katy Perry,Part Of Me,0
494,Taylor Swift,Eyes Open,0
495,LMFAO,Sexy And I Know It,0
496,Chris Brown,Turn Up The Music,0
497,Bruno Mars,It Will Rain,0
498,Carrie Underwood,Good Girl,0
499,Coldplay,Paradise,0
500,Adele,Someone Like You,0
501,Usher,Climax,0
502,Taylor Swift,Ours,0
503,Adele,Rolling In The Deep,0
504,Adele,Rumour Has It,0
505,Katy Perry,The One That Got Away,0
506,Beyonce,Love On Top,0
507,Rihanna,You Da One,0
508,LMFAO,Sorry For Party Rocking,0
509,Drake,Headlines,0
510,Justin Bieber,Mistletoe,0
511,Nicki Minaj,Super Bass,0
512,Lady Gaga,Marry The Night,0
513,Nickelback,When We Stand Together,0
514,Avril Lavigne,Wish You Were Here,0
515,Lil Wayne,Blunt Blowin,0
516,Beyonce,Countdown,0
517,Nicki Minaj,Stupid Hoe,0
518,Lady Gaga,You And I,0
519,Taylor Swift,If This Was A Movie,0
520,Taylor Swift,Sparks Fly,0
521,Drake,Hate Sleeping Alone,0
522,Rihanna,Cheers (Drink To That),0
523,Britney Spears,Criminal,0
524,Drake,Shot For Me,0
525,Katy Perry,Last Friday Night (T.G.I.F.),0
526,Lil Wayne,How To Love,0
527,Lady Gaga,The Edge Of Glory,0
528,Britney Spears,I Wanna Go,0
529,Beyonce,Best Thing I Never Had,0
530,Bruno Mars,The Lazy Song,0
531,The Black Eyed Peas,Just Can't Get Enough,0
532,Chris Brown,She Ain't You,0
533,Rihanna,California King Bed,0
534,Coldplay,Every Teardrop Is A Waterfall,0
535,P!nk,F**kin' Perfect,0
536,Taylor Swift,Mean,0
537,Rihanna,Man Down,0
538,Maroon 5,Never Gonna Leave This Bed,0
539,Drake,Marvins Room,0
540,Avril Lavigne,Smile,0
541,Taylor Swift,The Story Of Us,0
542,Lady Gaga,Born This Way,0
543,Bruno Mars,Grenade,0
544,Ke$ha,Blow,0
545,Katy Perry,Firework,0
546,Usher,More,0
547,Avril Lavigne,What The Hell,0
548,Kanye West,All Of The Lights,0
549,P!nk,Raise Your Glass,0
550,Bruno Mars,Just The Way You Are,0
551,Chris Brown,Yeah 3X,0
552,Britney Spears,Hold It Against Me,0
553,The Black Eyed Peas,The Time (Dirty Bit),0
554,Nicki Minaj,Did It On'em,0
555,Chris Brown,No BS,0
556,Ke$ha,We R Who We R,0
557,Rihanna,Only Girl (In The World),0
558,Katy Perry,Teenage Dream,0
559,Taylor Swift,Back To December,0
560,Nicki Minaj,Right Thru Me,0
561,Taylor Swift,Mine,0
562,Carrie Underwood,Mama's Song,0
563,Coldplay,Christmas Lights,0
564,Daughtry,September,0
565,Ke$ha,Take It Off,0
566,Akon,Angel,0
567,Drake,Find Your Love,0
568,Eminem,Not Afraid,0
569,Nicki Minaj,Your Love,0
570,Lady Gaga,Alejandro,0
571,Ke$ha,Your Love Is My Drug,0
572,Maroon 5,Misery,0
573,Carrie Underwood,Undo It,0
574,Alicia Keys,Un-Thinkable (I'm Ready),0
575,Usher,There Goes My Baby,0
576,The Black Eyed Peas,Rock That Body,0
577,Nickelback,This Afternoon,0
578,Drake,Over,0
579,Kanye West,POWER,0
580,P!nk,Glitter In The Air,0
581,Miley Cyrus,Can't Be Tamed,0
582,Rihanna,Rude Boy,0
583,The Black Eyed Peas,Imma Be,0
584,Ke$ha,TiK ToK,0
585,Lady Gaga,Bad Romance,0
586,Justin Bieber,U Smile,0
587,The Black Eyed Peas,I Gotta Feeling,0
588,Taylor Swift,Today Was A Fairytale,0
589,Daughtry,Life After You,0
590,Carrie Underwood,Temporary Home,0
591,T.I.,I'm Back,0
592,Taylor Swift,You Belong With Me,0
593,Miley Cyrus,When I Look At You,0
594,Alicia Keys,Try Sleeping With A Broken Heart,0
595,Taylor Swift,Fearless,0
596,Avril Lavigne,Alice,0
597,The Black Eyed Peas,Meet Me Halfway,0
598,Britney Spears,3,0
599,Lady Gaga,Paparazzi,0
600,Beyonce,Sweet Dreams,0
601,Miley Cyrus,Party In The U.S.A.,0
602,Taylor Swift,Fifteen,0
603,Carrie Underwood,Cowboy Casanova,0
604,Justin Bieber,One Time,0
605,Rihanna,Russian Roulette,0
606,Alicia Keys,Empire State Of Mind (Part II) Broken Down,0
607,Justin Bieber,One Less Lonely Girl,0
608,Usher,Papers,0
609,Nickelback,Never Gonna Be Alone,0
610,Eminem,Elevator,0
611,Chris Brown,Crawl,0
612,Lil Wayne,On Fire,0
613,P!nk,Funhouse,0
614,Justin Bieber,Down To Earth,0
615,Alicia Keys,Doesn't Mean Anything,0
616,Justin Bieber,Bigger,0
617,Drake,Best I Ever Had,0
618,The Black Eyed Peas,Boom Boom Pow,0
619,Lady Gaga,LoveGame,0
620,Katy Perry,Waking Up In Vegas,0
621,Beyonce,Halo,0
622,P!nk,Please Don't Leave Me,0
623,Miley Cyrus,The Climb,0
624,Lady Gaga,Poker Face,0
625,Nickelback,If Today Was Your Last Day,0
626,Jordin Sparks,Battlefield,0
627,Daughtry,No Surprise,0
628,Taylor Swift,Love Story,0
629,Beyonce,Ego,0
630,LMFAO,I'm In Miami Trick,0
631,Daughtry,You Don't Belong,0
632,Eminem,Beautiful,0
633,Britney Spears,Circus,0
634,P!nk,Sober,0
635,Britney Spears,If U Seek Amy,0
636,Beyonce,Single Ladies (Put A Ring On It),0
637,Taylor Swift,White Horse,0
638,Lil Wayne,Hot Revolver,0
639,Katy Perry,Hot N Cold,0
640,Coldplay,Viva La Vida,0
641,Beyonce,Diva,0
642,Nickelback,Gotta Be Somebody,0
643,P!nk,So What,0
644,Katy Perry,Thinking Of You,0
645,Carrie Underwood,Home Sweet Home,0
646,Miley Cyrus,Hoedown Throwdown,0
647,Taylor Swift,You're Not Sorry,0
648,Britney Spears,Womanizer,0
649,Kanye West,Love Lockdown,0
650,T.I.,Whatever You Like,0
651,Beyonce,If I Were A Boy,0
652,Akon,Right Now (Na Na Na),0
653,Rihanna,Rehab,0
654,Rihanna,Disturbia,0
655,Leona Lewis,Better In Time,0
656,Usher,Trading Places,0
657,Carrie Underwood,Just A Dream,0
658,Leona Lewis,Run,0
659,Daughtry,What About Now,0
660,Chris Brown,Forever,0
661,Nickelback,I'd Come For You,0
662,Jonas Brothers,Lovebug,0
663,Katy Perry,I Kissed A Girl,0
664,Rihanna,Take A Bow,0
665,Leona Lewis,Bleeding Love,0
666,Lil Wayne,A Milli,0
667,Jonas Brothers,Burnin' Up,0
668,Miley Cyrus,7 Things,0
669,Jonas Brothers,Pushin' Me Away,0
670,Taylor Swift,Should've Said No,0
671,Jordin Sparks,One Step At A Time,0
672,Chris Brown,Take You Down,0
673,Alicia Keys,Teenage Love Affair,0
674,Carrie Underwood,Last Name,0
675,Usher,Moving Mountains,0
676,Rehab,Bartender Song,0
677,Jonas Brothers,Play My Music,0
678,Chris Brown,With You,0
679,Rihanna,Don't Stop The Music,0
680,Alicia Keys,No One,0
681,Taylor Swift,Teardrops On My Guitar,0
682,Alicia Keys,Like You'll Never See Me Again,0
683,Jordin Sparks,Tattoo,0
684,Jonas Brothers,When You Look Me In The Eyes,0
685,Carrie Underwood,All-American Girl,0
686,Daughtry,Feels Like Tonight,0
687,Fergie,Clumsy,0
688,Taylor Swift,Our Song,0
689,Taylor Swift,Picture To Burn,0
690,Britney Spears,Break The Ice,0
691,Maroon 5,Won't Go Home Without You,0
692,Kanye West,Stronger,0
693,Britney Spears,Piece Of Me,0
694,Daughtry,Over You,0
695,Fergie,Big Girls Don't Cry,0
696,Maroon 5,Wake Up Call,0
697,Nickelback,Rockstar,0
698,P!nk,Who Knew,0
699,Chris Brown,This Christmas,0
700,Britney Spears,Gimme More,0
701,Carrie Underwood,So Small,0
702,Jonas Brothers,S.O.S.,0
703,Carrie Underwood,Do You Hear What I Hear,0
704,Carrie Underwood,Before He Cheats,0
705,Justin Timberlake,LoveStoned,0
706,Akon,"Sorry, Blame It On Me",0
707,T.I.,Big Things Poppin' (Do It),0
708,Maroon 5,Makes Me Wonder,0
709,Rihanna,Shut Up And Drive,0
710,Justin Timberlake,Summer Love,0
711,Avril Lavigne,Girlfriend,0
712,Daughtry,Home,0
713,P!nk,U + Ur Hand,0
714,Avril Lavigne,When You're Gone,0
715,Gwen Stefani,4 In The Morning,0
716,Beyonce,Get Me Bodied,0
717,Kanye West,Can't Tell Me Nothing,0
718,Akon,Don't Matter,0
719,Justin Timberlake,What Goes Around...Comes Around,0
720,Daughtry,It's Not Over,0
721,Nickelback,If Everyone Cared,0
722,Beyonce,Irreplaceable,0
723,Carrie Underwood,Wasted,0
724,Fergie,Fergalicious,0
725,Avril Lavigne,Keep Holding On,0
726,T.I.,Top Back,0
727,Jonas Brothers,Year 3000,0
728,Justin Timberlake,SexyBack,0
729,Nickelback,Far Away,0
730,Gwen Stefani,Wind It Up,0
731,Chris Brown,Say Goodbye,0
732,Taylor Swift,Tim McGraw,0
733,Beyonce,Listen,0
